alpha,beta,seed,idi_ratio,idi_diversity
0.0,1.0,0,0.024,1.6486111879348755
0.0,1.0,1,0.042,1.5567947626113892
0.0,1.0,2,0.035,1.5851892232894897
0.0,1.0,3,0.021,1.5044703483581543
0.0,1.0,4,0.022,1.5750732421875
0.0,1.0,5,0.044,1.4919638633728027
0.0,1.0,6,0.071,1.5226279497146606
0.0,1.0,7,0.027,1.3298012018203735
0.0,1.0,8,0.06,1.4550613164901733
0.0,1.0,9,0.027,1.5832253694534302
0.3,0.7,0,0.233,1.3343398571014404
0.3,0.7,1,0.274,1.4944524765014648
0.3,0.7,2,0.143,1.3015483617782593
0.3,0.7,3,0.149,1.3993452787399292
0.3,0.7,4,0.298,1.3058671951293945
0.3,0.7,5,0.273,1.3209919929504395
0.3,0.7,6,0.315,1.2766776084899902
0.3,0.7,7,0.187,1.416179895401001
0.3,0.7,8,0.063,1.412032961845398
0.3,0.7,9,0.308,1.382918357849121
0.5,0.5,0,0.274,1.282892107963562
0.5,0.5,1,0.314,1.4013596773147583
0.5,0.5,2,0.193,1.2386581897735596
0.5,0.5,3,0.181,1.35581374168396
0.5,0.5,4,0.325,1.2877222299575806
0.5,0.5,5,0.302,1.1087861061096191
0.5,0.5,6,0.386,1.0883828401565552
0.5,0.5,7,0.331,1.3912725448608398
0.5,0.5,8,0.292,1.2923890352249146
0.5,0.5,9,0.368,1.3621450662612915
0.7,0.30000000000000004,0,0.337,1.0945812463760376
0.7,0.30000000000000004,1,0.398,1.6029185056686401
0.7,0.30000000000000004,2,0.469,1.3718233108520508
0.7,0.30000000000000004,3,0.449,1.3360743522644043
0.7,0.30000000000000004,4,0.439,1.2605534791946411
0.7,0.30000000000000004,5,0.472,1.2552236318588257
0.7,0.30000000000000004,6,0.486,1.053527593612671
0.7,0.30000000000000004,7,0.513,1.2749933004379272
0.7,0.30000000000000004,8,0.45,1.3829213380813599
0.7,0.30000000000000004,9,0.484,1.4297064542770386
0.9,0.09999999999999998,0,0.394,1.1336568593978882
0.9,0.09999999999999998,1,0.38,1.2770686149597168
0.9,0.09999999999999998,2,0.473,1.016933798789978
0.9,0.09999999999999998,3,0.405,1.1436899900436401
0.9,0.09999999999999998,4,0.488,0.998270571231842
0.9,0.09999999999999998,5,0.404,1.0322096347808838
0.9,0.09999999999999998,6,0.473,0.9016521573066711
0.9,0.09999999999999998,7,0.495,0.9271289110183716
0.9,0.09999999999999998,8,0.481,1.1517142057418823
0.9,0.09999999999999998,9,0.431,1.2128984928131104
1.0,0.0,0,0.371,1.0723698139190674
1.0,0.0,1,0.365,1.1299880743026733
1.0,0.0,2,0.405,0.9047443866729736
1.0,0.0,3,0.362,1.1169991493225098
1.0,0.0,4,0.366,1.0980556011199951
1.0,0.0,5,0.372,1.1211888790130615
1.0,0.0,6,0.391,0.9214242696762085
1.0,0.0,7,0.428,1.1334728002548218
1.0,0.0,8,0.397,1.0404484272003174
1.0,0.0,9,0.418,1.0315898656845093
