algorithm,dataset,model,sensitive_feature,run_id,budget,n_idis,idi_ratio,idi_diversity,runtime_seconds
RS,adult,dnn,race,0,1000,98,0.098,0.7645487785339355,18.35503387451172
GA-FT,adult,dnn,race,0,1000,122,0.122,1.0404901504516602,18.721624851226807
RS,adult,dnn,race,1,1000,87,0.087,0.7229568958282471,18.044100046157837
GA-FT,adult,dnn,race,1,1000,85,0.085,1.2165427207946777,18.07343316078186
RS,adult,dnn,race,2,1000,98,0.098,0.8355404734611511,17.943392992019653
GA-FT,adult,dnn,race,2,1000,59,0.059,1.2255139350891113,18.05368208885193
RS,adult,dnn,race,3,1000,114,0.114,0.8008259534835815,18.060806035995483
GA-FT,adult,dnn,race,3,1000,49,0.049,1.1033985614776611,18.061965942382812
RS,adult,dnn,race,4,1000,93,0.093,0.8493238091468811,17.990148067474365
GA-FT,adult,dnn,race,4,1000,123,0.123,1.1234753131866455,18.124834060668945
RS,adult,dnn,race,5,1000,94,0.094,0.7559155225753784,16.873690128326416
GA-FT,adult,dnn,race,5,1000,133,0.133,1.2346431016921997,17.842421054840088
RS,adult,dnn,race,6,1000,115,0.115,0.8502352237701416,17.512009859085083
GA-FT,adult,dnn,race,6,1000,172,0.172,1.1866931915283203,16.214303016662598
RS,adult,dnn,race,7,1000,94,0.094,0.8450809717178345,16.346220016479492
GA-FT,adult,dnn,race,7,1000,67,0.067,1.0978758335113525,16.174471855163574
RS,adult,dnn,race,8,1000,86,0.086,0.7562212347984314,16.19576120376587
GA-FT,adult,dnn,race,8,1000,83,0.083,1.131650447845459,16.200466871261597
RS,adult,dnn,race,9,1000,99,0.099,0.9019227027893066,16.12806510925293
GA-FT,adult,dnn,race,9,1000,84,0.084,1.165032982826233,16.17914915084839
RS,adult,dnn,race,10,1000,106,0.106,0.8754673004150391,16.221370935440063
GA-FT,adult,dnn,race,10,1000,86,0.086,1.0236842632293701,16.23120093345642
RS,adult,dnn,race,11,1000,98,0.098,0.8292461037635803,17.06362509727478
GA-FT,adult,dnn,race,11,1000,133,0.133,1.1251174211502075,16.173562049865723
RS,adult,dnn,race,12,1000,94,0.094,0.8601366281509399,16.227962970733643
GA-FT,adult,dnn,race,12,1000,186,0.186,1.1013637781143188,16.211952924728394
RS,adult,dnn,race,13,1000,106,0.106,0.8060577511787415,16.110939025878906
GA-FT,adult,dnn,race,13,1000,146,0.146,1.0408799648284912,16.24034810066223
RS,adult,dnn,race,14,1000,102,0.102,0.7320318818092346,16.383352994918823
GA-FT,adult,dnn,race,14,1000,98,0.098,1.2371734380722046,468.93971824645996
RS,adult,dnn,race,15,1000,93,0.093,0.8214426040649414,21.352458953857422
GA-FT,adult,dnn,race,15,1000,72,0.072,1.1787852048873901,19.357930898666382
RS,adult,dnn,race,16,1000,91,0.091,0.8104369640350342,19.06026315689087
GA-FT,adult,dnn,race,16,1000,92,0.092,0.9279884099960327,18.322890996932983
RS,adult,dnn,race,17,1000,107,0.107,0.7735162973403931,17.97853112220764
