dataset,model,sensitive_feature,rs_median,rs_iqr,ga_median,ga_iqr,wilcoxon_p,a12,a12_label,verdict,rs_div_median,ga_div_median
adult,dnn,age,0.2455,0.012250000000000011,0.5295000000000001,0.04774999999999996,2.871949066320323e-11,1.0,large,GA-FT large-better,0.9245954751968384,1.2421361804008484
adult,dnn,gender,0.047,0.0075,0.0495,0.02475,0.7061714882812296,0.5283333333333333,negligible,no significant difference,0.728862076997757,1.1828566193580627
adult,dnn,race,0.094,0.010999999999999996,0.0965,0.05675000000000001,0.604838651327524,0.5388888888888889,negligible,no significant difference,0.8221147656440735,1.1265130043029785
adult,gbm,age,0.2435,0.015000000000000013,0.67,0.03949999999999987,2.871949066320323e-11,1.0,large,GA-FT large-better,0.9389949142932892,1.3717683553695679
adult,gbm,gender,0.0435,0.008,0.4705,0.04225000000000001,2.871949066320323e-11,1.0,large,GA-FT large-better,0.8329624831676483,1.2994592785835266
adult,gbm,race,0.067,0.010749999999999996,0.4985,0.07025000000000003,2.871949066320323e-11,1.0,large,GA-FT large-better,0.9563312232494354,1.2864248752593994
adult,lr,age,0.552,0.027499999999999858,0.746,0.027249999999999996,2.871949066320323e-11,1.0,large,GA-FT large-better,0.9690620005130768,1.3504598736763
adult,lr,gender,0.0845,0.013749999999999998,0.1815,0.024750000000000022,2.871949066320323e-11,1.0,large,GA-FT large-better,0.805154412984848,1.3353835940361023
adult,lr,race,0.0685,0.013749999999999998,0.131,0.02099999999999999,2.871949066320323e-11,1.0,large,GA-FT large-better,0.7058967351913452,1.2939053773880005
adult,rf,age,0.373,0.01749999999999996,0.4165,0.06424999999999997,0.00014066868942295475,0.7861111111111111,large,GA-FT large-better,0.964036613702774,1.0354818105697632
adult,rf,gender,0.045,0.00775,0.1035,0.06949999999999999,5.967306094734088e-09,0.9372222222222222,large,GA-FT large-better,1.0505639314651487,0.9813369512557983
adult,rf,race,0.141,0.012499999999999983,0.1965,0.045499999999999985,4.373305062467303e-09,0.9411111111111111,large,GA-FT large-better,0.8564290702342987,0.8929787576198578
compas,dnn,race,0.012,0.0027500000000000007,0.0915,0.049,2.871949066320323e-11,1.0,large,GA-FT large-better,0.8311986923217773,1.0729588270187378
compas,dnn,sex,0.015,0.004749999999999999,0.021,0.01625,0.007786348415917452,0.7,medium,GA-FT medium-better,0.8345761001110077,1.2978944182395935
compas,gbm,race,0.049,0.006999999999999999,0.5015000000000001,0.06775000000000009,2.871949066320323e-11,1.0,large,GA-FT large-better,0.898535281419754,1.3803373575210571
compas,gbm,sex,0.0935,0.010250000000000009,0.4995,0.046499999999999986,2.871949066320323e-11,1.0,large,GA-FT large-better,0.8953598737716675,1.33340722322464
compas,lr,race,0.038,0.007499999999999993,0.0335,0.008,0.01122776446668884,0.30944444444444447,medium,RS medium-better,0.7347977459430695,1.418985664844513
compas,lr,sex,0.087,0.008999999999999994,0.0825,0.023750000000000007,0.2518808246619123,0.41388888888888886,small,no significant difference,0.7852906882762909,1.5317845940589905
compas,rf,race,0.265,0.01375000000000004,0.176,0.035,3.689725853980989e-11,0.002777777777777778,large,RS large-better,0.9497140645980835,1.0679391622543335
compas,rf,sex,0.1845,0.005750000000000005,0.1565,0.028749999999999998,3.709688906339303e-05,0.19,large,RS large-better,1.0020654201507568,1.1866938471794128
